#Données de temps d'insertion, de recherche et de taux de charge sur une table de hachage.
#Taille_map	Insertion	Recherche	Charge
0 3.4492e-06 2.2914e-06 0.5
1 6.01455e-06 1.6107e-06 1
2 3.4396e-06 1.53205e-06 0.6
3 3.48885e-06 1.67745e-06 0.8
4 7.49875e-06 1.768e-06 1
5 3.4872e-06 1.56225e-06 0.545455
6 3.56195e-06 1.60075e-06 0.636364
7 3.47645e-06 1.59385e-06 0.727273
8 3.4917e-06 1.6834e-06 0.818182
9 3.52505e-06 1.76665e-06 0.909091
10 8.6812e-06 1.80445e-06 1
11 3.5041e-06 1.49865e-06 0.521739
12 3.4186e-06 1.548e-06 0.565217
13 3.45125e-06 1.63595e-06 0.608696
14 6.01665e-06 2.48895e-06 0.652174
15 3.44555e-06 2.48315e-06 0.695652
16 5.8792e-06 2.74035e-06 0.73913
17 6.5638e-06 2.86285e-06 0.782609
18 6.108e-06 3.55955e-06 0.826087
19 3.94995e-06 1.79745e-06 0.869565
20 4.6821e-06 1.89415e-06 0.913043
21 3.6552e-06 2.27195e-06 0.956522
22 2.31297e-05 2.7801e-06 1
23 4.27245e-06 1.9826e-06 0.510638
24 5.2799e-06 3.00255e-06 0.531915
25 5.2012e-06 2.35815e-06 0.553191
26 5.18945e-06 2.7188e-06 0.574468
27 3.71375e-06 1.85895e-06 0.595745
28 3.44555e-06 1.7675e-06 0.617021
29 4.26275e-06 1.6745e-06 0.638298
30 5.85015e-06 3.0965e-06 0.659574
31 3.5302e-06 1.86155e-06 0.680851
32 3.51705e-06 1.8078e-06 0.702128
33 4.2833e-06 1.80415e-06 0.723404
34 3.6534e-06 1.80235e-06 0.744681
35 3.5511e-06 1.9528e-06 0.765957
36 3.72235e-06 1.8782e-06 0.787234
37 3.69615e-06 1.9021e-06 0.808511
38 4.5281e-06 1.79555e-06 0.829787
39 3.33175e-06 2.1799e-06 0.851064
40 3.79955e-06 2.0069e-06 0.87234
41 3.3128e-06 1.86245e-06 0.893617
42 3.7291e-06 2.38515e-06 0.914894
43 6.48675e-06 2.36465e-06 0.93617
44 5.74585e-06 3.4699e-06 0.957447
45 4.1895e-06 2.15575e-06 0.978723
46 2.29626e-05 2.9821e-06 1
47 3.51575e-06 1.9756e-06 0.494845
48 3.542e-06 1.8904e-06 0.505155
49 3.37175e-06 1.78255e-06 0.515464
50 3.61865e-06 2.09865e-06 0.525773
51 3.33355e-06 1.8909e-06 0.536082
52 3.2007e-06 1.69555e-06 0.546392
53 3.3828e-06 1.6696e-06 0.556701
54 4.47055e-06 1.7104e-06 0.56701
55 5.665e-06 1.9391e-06 0.57732
56 3.6035e-06 1.8012e-06 0.587629
57 3.1079e-06 1.84e-06 0.597938
58 3.18525e-06 1.74395e-06 0.608247
59 3.2158e-06 1.76055e-06 0.618557
60 5.2049e-06 2.9508e-06 0.628866
61 3.94315e-06 2.2484e-06 0.639175
62 3.95235e-06 2.056e-06 0.649485
63 5.1383e-06 3.2449e-06 0.659794
64 3.405e-06 2.25875e-06 0.670103
65 3.1884e-06 1.81955e-06 0.680412
66 3.22435e-06 1.79985e-06 0.690722
67 3.4016e-06 1.7856e-06 0.701031
68 3.28575e-06 1.78755e-06 0.71134
69 5.38905e-06 2.6589e-06 0.721649
70 5.00525e-06 2.72135e-06 0.731959
71 3.46575e-06 2.016e-06 0.742268
72 3.9429e-06 1.9595e-06 0.752577
73 3.2519e-06 2.0076e-06 0.762887
74 3.2249e-06 1.8932e-06 0.773196
75 3.36965e-06 1.99945e-06 0.783505
76 3.195e-06 1.8705e-06 0.793814
77 3.20965e-06 1.8957e-06 0.804124
78 3.3141e-06 1.9055e-06 0.814433
79 4.16555e-06 1.90135e-06 0.824742
80 3.3697e-06 2.2712e-06 0.835052
81 3.5547e-06 3.0399e-06 0.845361
82 3.2597e-06 2.7348e-06 0.85567
83 3.23205e-06 3.10005e-06 0.865979
84 3.38185e-06 1.98015e-06 0.876289
85 3.1738e-06 1.9176e-06 0.886598
86 3.7076e-06 1.8748e-06 0.896907
87 3.4573e-06 2.24335e-06 0.907216
88 3.7556e-06 1.81405e-06 0.917526
89 3.1339e-06 1.97465e-06 0.927835
90 3.09935e-06 2.64665e-06 0.938144
91 3.33875e-06 3.321e-06 0.948454
92 3.2867e-06 3.0864e-06 0.958763
93 3.5855e-06 3.11305e-06 0.969072
94 3.41925e-06 3.2632e-06 0.979381
95 3.80675e-06 2.02425e-06 0.989691
96 3.24372e-05 2.11355e-06 1
97 3.2943e-06 1.7932e-06 0.492462
98 3.2507e-06 1.8082e-06 0.497487
99 4.04845e-06 1.7617e-06 0.502513
100 3.23835e-06 1.835e-06 0.507538
101 3.5107e-06 1.80055e-06 0.512563
102 3.34015e-06 2.0637e-06 0.517588
103 3.35045e-06 1.91385e-06 0.522613
104 3.24495e-06 1.79285e-06 0.527638
105 3.9168e-06 1.73525e-06 0.532663
106 3.23825e-06 1.84955e-06 0.537688
107 3.48855e-06 2.4427e-06 0.542714
108 3.38755e-06 1.7651e-06 0.547739
109 3.22715e-06 1.8279e-06 0.552764
110 3.92845e-06 1.8064e-06 0.557789
111 3.4913e-06 2.04795e-06 0.562814
112 3.50775e-06 1.90565e-06 0.567839
113 3.3129e-06 1.78615e-06 0.572864
